File,Mode,Chunks,Time (s),Outcome
856399094_1872_192_08.txt,parallel,6,85.67,❌ parse failed
856399094_1872_212_04.txt,parallel,6,551.21,❌ failed chunks [2]
856399094_1872_247_07.txt,parallel,6,281.95,✅ success
856399094_1872_284_13.txt,parallel,5,106.04,✅ success
856399094_1872_285_08.txt,parallel,6,108.06,✅ success
856399094_1872_285_10.txt,parallel,6,113.08,✅ success
856399094_1872_286_13.txt,parallel,5,70.99,✅ success
856399094_1872_287_10.txt,parallel,6,112.15,✅ success
856399094_1872_288_10.txt,parallel,6,91.9,✅ success
856399094_1872_288_13.txt,parallel,4,64.59,✅ success
856399094_1872_288_14.txt,parallel,4,46.31,✅ success
856399094_1872_289_09.txt,parallel,6,57.79,✅ success
856399094_1872_289_14.txt,parallel,6,124.4,✅ success
856399094_1872_290_13.txt,parallel,5,75.24,✅ success
856399094_1872_290_14.txt,parallel,5,56.0,✅ success
856399094_1872_292_08.txt,parallel,6,56.41,✅ success
856399094_1872_292_11.txt,parallel,5,53.32,✅ success
856399094_1872_292_14.txt,parallel,4,57.53,✅ success
856399094_1872_293_08.txt,parallel,7,66.33,✅ success
856399094_1872_293_10.txt,parallel,6,94.29,✅ success
856399094_1872_293_11.txt,parallel,5,54.98,✅ success
856399094_1872_294_08.txt,parallel,6,91.53,✅ success
856399094_1872_294_11.txt,parallel,8,26.61,✅ success
856399094_1872_295_14.txt,parallel,5,99.73,✅ success
856399094_1872_295_15.txt,parallel,5,75.66,✅ success
856399094_1872_297_07.txt,parallel,6,129.22,❌ parse failed
856399094_1872_298_09.txt,parallel,6,18.0,✅ success
856399094_1872_298_10.txt,parallel,8,24.56,✅ success
856399094_1872_299_10.txt,parallel,6,79.25,✅ success
856399094_1872_304_15.txt,parallel,5,79.23,✅ success
856399094_1872_304_18.txt,parallel,6,100.27,✅ success
856399094_1872_305_07.txt,parallel,6,23.83,✅ success
856399094_1872_306_02.txt,parallel,7,28.13,✅ success
